"tool","seed_keyword","keyword","intent","volume","kd_percent","cpc_usd","sf","updated","source"
"Keyword Magic Tool","birthday gift for 3 year old","birthday gifts for a 3 year old boy","C","50","20","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 3 year old","gift ideas for 3 year old girl birthday","C","50","29","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 3 year old","gifts for 3 year old girl birthday","I;C","50","27","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 3 year old","best birthday gifts for 3 year old boys","C","40","14","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 3 year old","best gifts for 3 year old girl birthday","C","40","21","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 3 year old","birthday gifts for 3 year old boys","C","40","30","0.00","","3 weeks","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","birthday gifts for 4 year old girl","C","480","31","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","birthday gift for 4 year old boy","C","390","28","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","birthday gift for 4 year old girl","C","390","29","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","birthday gifts for 4 year old boy","C","210","30","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","birthday gifts for 4 year old boys","C","110","25","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","gifts for 4 year old girl birthday","I","110","25","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","best birthday gifts for 4 year olds","C","90","10","0.56","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","best birthday gift for 4 year old girl","C","70","15","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","best birthday gifts for 4 year old girl","C","70","15","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","birthday gift ideas for 4 year old boy","C","70","34","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","best birthday gift for 4 year old boy","C","50","20","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","best gift for 4 year old girl birthday","C","50","21","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","best birthday gifts for 4 year old boy","C","40","13","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","birthday gift ideas for 4 year old girl","C","40","23","0.00","","3 weeks","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","birthday gift ideas for 4 year olds","C","40","13","0.47","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","birthday gifts for 4 year old","I;C","40","18","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","birthday gifts for 4 year olds","C","40","17","0.00","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","personalized unicorn book","personalized unicorn book","C","40","0","1.59","","3 weeks","user inline paste 2026-06-29"
"Keyword Magic Tool","personalized dinosaur book","personalized dinosaur book","C","260","2","1.82","","1 month","user inline paste 2026-06-29"
"Keyword Magic Tool","personalized dinosaur book","personalized dinosaur books for kids","C","40","0","0.00","","1 month","user inline paste 2026-06-29"
